event_id,customer_id,booking_id,event_type,event_timestamp
E0000001,C000861,B000001,SEARCH,2026-06-09 23:41:00
E0000002,C000861,B000001,VIEW_TRIP,2026-06-09 23:50:00
E0000003,C000861,B000001,BOOKING_STARTED,2026-06-09 23:56:00
E0000004,C000861,B000001,BOOKING_CREATED,2026-06-10 00:00:00
E0000005,C000861,B000001,PAYMENT_STARTED,2026-06-10 00:33:00
E0000006,C000861,B000001,PAYMENT_COMPLETED,2026-06-10 00:33:26
E0000007,C000861,B000001,BOOKING_CONFIRMED,2026-06-10 00:37:26
E0000008,C003773,B000002,SEARCH,2026-06-26 23:33:00
E0000009,C003773,B000002,VIEW_TRIP,2026-06-26 23:43:00
E0000010,C003773,B000002,BOOKING_STARTED,2026-06-26 23:56:00
E0000011,C003773,B000002,BOOKING_CREATED,2026-06-27 00:00:00
E0000012,C003773,B000002,PAYMENT_STARTED,2026-06-27 00:23:00
E0000013,C003773,B000002,PAYMENT_FAILED,2026-06-27 00:23:29
E0000014,C003773,B000002,PAYMENT_RETRY,2026-06-27 00:25:06
E0000015,C003773,B000002,PAYMENT_STARTED,2026-06-27 00:28:33
E0000016,C003773,B000002,PAYMENT_COMPLETED,2026-06-27 00:29:12
E0000017,C003773,B000002,BOOKING_CONFIRMED,2026-06-27 00:36:12
E0000018,C003093,B000003,SEARCH,2025-09-08 23:43:00
E0000019,C003093,B000003,VIEW_TRIP,2025-09-08 23:51:00
E0000020,C003093,B000003,BOOKING_STARTED,2025-09-08 23:57:00
E0000021,C003093,B000003,BOOKING_CREATED,2025-09-09 00:00:00
E0000022,C003093,B000003,PAYMENT_STARTED,2025-09-09 00:07:00
E0000023,C003093,B000003,PAYMENT_COMPLETED,2025-09-09 00:07:49
E0000024,C003093,B000003,BOOKING_CONFIRMED,2025-09-09 00:08:49
E0000025,C000467,B000004,SEARCH,2026-02-24 23:42:00
E0000026,C000467,B000004,VIEW_TRIP,2026-02-24 23:48:00
E0000027,C000467,B000004,BOOKING_STARTED,2026-02-24 23:57:00
E0000028,C000467,B000004,BOOKING_CREATED,2026-02-25 00:00:00
E0000029,C000467,B000004,PAYMENT_STARTED,2026-02-25 00:42:00
E0000030,C000467,B000004,PAYMENT_FAILED,2026-02-25 00:42:30
E0000031,C000467,B000004,PAYMENT_RETRY,2026-02-25 00:42:35
E0000032,C000467,B000004,PAYMENT_STARTED,2026-02-25 00:43:30
E0000033,C000467,B000004,PAYMENT_FAILED,2026-02-25 00:44:19
E0000034,C000467,B000004,PAYMENT_RETRY,2026-02-25 00:50:00
E0000035,C000467,B000004,PAYMENT_STARTED,2026-02-25 00:57:01
